season,Team,team_id,conference,bracket_region,make_tournament,round,max_player,seed_tournament,champion_share,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,AdjTempo,AdjOE,AdjDE,AdjEM,AP_Pre 1,AP_Week 2,AP_Week 3,AP_Week 4,AP_Week 5,AP_Week 6,AP_Week 7,AP_Week 8,AP_Week 9,AP_Week 10,AP_Week 11,AP_Week 12,AP_Week 13,AP_Week 14,AP_Week 15,AP_Week 16,AP_Week 17,AP_Week 18,champion,sum_school_champion_shares,sum_school_champions,sum_school_finals,sum_school_final_fours,sum_school_elite_eights,sum_school_L1S_cs,sum_school_L3S_cs,sum_school_L5S_cs,sum_school_L8S_cs,avg_ap_poll_rank_Pre_18,make_all_ap_polls,top_12_AP_Week 6,team_rating_custom,max_player_rating_custom,sum_player_champion_shares,sum_player_champions,sum_mm_tour_games,sum_cf_tour_games,sum_crs_games,sum_player_L1S_cs,sum_player_L3S_cs,sum_player_L5S_cs,sum_player_L8S_cs,bracket_region_rating,conference_rating,sum_coach_mm_tour_games,sum_coach_L1S_cs,sum_coach_L3S_cs,sum_coach_L5S_cs,sum_coach_L8S_cs,sum_conf_L1S_cs,sum_conf_L3S_cs,sum_conf_L5S_cs,sum_conf_L8S_cs,top_4_seed,ap_sos,ap_weighted_score,sum_under_12_ap_games,under_12_ap_rec,rank_team_rating_custom,rank_AdjEM,rank_AdjOE,top_8_team_rating_custom,top_6_AdjEM,top_6_AdjOE
2025,Tennessee,293,SEC,midwest,True,0,Zakai Zeigler,2,0.0,0.5705,0.5365,154.85,34.45,74.69999999999999,55.85,60.95,13.05,10.55,17.1,1.2999999999999998,65.7,113.35,91.80000000000001,21.5,753.9,67.15,14.5,39.95,76.19999999999999,26.65,57.5,0.4635,8.4,24.549999999999997,0.3425,14.45,19.4,0.743,10.1,25.0,35.15,16.25,7.1499999999999995,5.15,10.05,15.15,4,0,0,0,0,2,0,85,4.5,0,1.625,1.6,0.6,0.235,12,6,0.667,63.6,120.3,89.1,31.15,12.0,11.0,11.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,8.0,4.0,5.0,6.0,5.0,4.0,0,3.1666666660000002,0.0,0.0,0.0,2.0,0.5,1.0,1.3333333330000001,1.5,5.166666666666667,1,1,22.433333333333334,32.425,2.333333333,0.0,27.0,23.0,268.0,1.5,2.333333333,2.333333333,2.333333333,11.06452205882353,5.152334449404763,34.0,0.5,1.0,1.3333333330000001,1.5,0.5,1.0,1.3333333330000001,1.8333333330000001,1,21.013227513227513,35.05820105820106,4.0,0.5,9.0,5.0,18.0,0,1,0
2025,Iowa St.,127,Big 12,south,True,0,Joshua Jefferson,3,0.0,0.5800000000000001,0.5429999999999999,157.05,32.95,74.44999999999999,54.8,57.55,13.850000000000001,13.55,11.75,1.35,68.5,114.19999999999999,90.1,24.1,574.2,70.69999999999999,14.0,40.5,81.8,28.55,59.45,0.47950000000000004,7.6,21.75,0.348,17.1,23.05,0.743,10.05,25.1,35.1,16.6,9.7,4.15,11.3,14.75,8,0,0,0,0,3,0,108,6.9,0,1.52,1.1,0.7,0.302,13,7,0.65,68.6,119.4,92.4,26.99,5.0,7.0,5.0,5.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,8.0,10.0,8.0,9.0,10.0,0,2.0,0.0,0.0,0.0,0.0,0.333333333,0.666666666,0.666666666,1.166666666,5.333333333333333,1,1,23.29642857142857,34.6,1.333333332,0.0,15.0,24.0,245.0,1.333333332,1.333333332,1.333333332,1.333333332,13.269157848324516,1.3317187500000003,3.0,0.333333333,0.666666666,0.666666666,0.666666666,0.0,0.333333333,0.333333333,0.8333333340000001,1,22.02910052910053,36.73809523809524,4.0,0.5,8.0,10.0,19.0,1,0,0
2025,Bryant,32,AM East,south,True,0,Earl Timberlake,15,0.0,0.5445,0.5165,149.39999999999998,33.400000000000006,73.45,53.400000000000006,49.55,13.15,8.8,14.75,1.25,65.1,109.5,98.85,10.65,0.0,74.4,14.5,40.2,81.85,30.0,65.65,0.457,7.800000000000001,23.65,0.331,14.0,19.9,0.7055,12.1,26.5,38.6,14.899999999999999,6.6,6.0,11.399999999999999,15.55,13,1,0,0,0,0,2,95,12.8,0,1.516,1.6,0.7,0.193,14,2,0.875,72.4,106.7,105.5,1.18,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0,0,17.75714285714286,30.325000000000003,0.166666667,0.0,2.0,18.0,163.0,0.0,0.166666667,0.166666667,0.166666667,13.269157848324516,0.6142857142857152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.0,52.0,0.0,0.0,16.0,60.0,63.0,0,0,0
2025,St. John's,282,Big East,west,True,0,Kadary Richmond,2,0.0,0.529,0.497,144.65,37.6,73.75,55.45,53.05,12.65,12.5,15.5,1.2000000000000002,64.94999999999999,109.35,90.45,18.950000000000003,665.1,72.4,14.5,40.15,79.8,29.7,65.69999999999999,0.45199999999999996,5.949999999999999,20.45,0.28800000000000003,14.5,20.55,0.706,12.8,24.65,37.45,15.8,8.95,5.5,11.0,16.549999999999997,15,1,0,0,0,2,1,89,10.0,0,1.531,1.5,0.9,0.212,18,2,0.9,70.1,113.9,87.5,26.38,26.0,22.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,20.0,15.0,12.0,9.0,10.0,7.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.833333333333332,0,0,15.792857142857141,30.549999999999997,0.333333333,0.0,26.0,19.0,233.0,0.0,0.0,0.333333333,0.333333333,10.78058345734127,2.190313852813853,20.0,0.0,0.0,1.0,1.8333333340000002,0.0,0.0,0.166666667,0.5,1,21.591666666666665,42.79722222222222,3.0,0.6666666666666666,24.0,11.0,46.0,0,0,0
2025,Saint Mary's,252,WCC,east,True,0,Augustas Marciulionis,7,0.0,0.5425,0.5125,148.85000000000002,40.25,76.0,57.85,59.75,11.95,10.0,10.15,1.25,63.4,114.6,95.2,19.45,752.2,64.85,14.5,40.25,75.05000000000001,27.200000000000003,59.75,0.4555,6.85,20.700000000000003,0.332,13.8,19.75,0.7015,13.25,24.200000000000003,37.400000000000006,16.25,6.6,3.8,9.4,15.25,14,0,0,0,0,0,0,103,15.4,0,1.571,2.0,0.7,0.197,17,1,0.944,61.7,115.3,92.2,23.09,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,23.0,21.0,0,0.833333334,0.0,0.0,0.0,0.0,0.0,0.333333334,0.333333334,0.500000001,25.555555555555557,0,0,18.791666666666668,27.158333333333328,0.500000001,0.0,7.0,12.0,95.0,0.0,0.500000001,0.500000001,0.500000001,9.687610877684406,0.7191423160173165,12.0,0.0,0.333333334,0.333333334,0.500000001,0.0,0.333333334,0.500000001,0.833333334,0,24.807017543859647,50.921052631578945,0.0,0.0,13.0,22.0,42.0,0,0,0
2025,Saint Francis,281,NEC,south,True,0,Riley Parker,16,0.0,0.5605,0.538,153.65,25.25,73.6,50.099999999999994,54.2,16.1,9.05,7.3,1.25,52.05,104.0,105.30000000000001,-1.25,0.0,68.45,15.0,40.75,72.5,27.200000000000003,58.349999999999994,0.4665,8.35,24.4,0.3425,9.7,13.35,0.7275,7.7,23.85,31.6,14.75,6.4,2.45,12.399999999999999,15.15,4,0,0,0,0,1,0,86,0.4,0,1.493,1.1,0.5,0.195,8,8,0.5,66.9,99.7,112.4,-12.76,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0,0,-1.4071428571428568,9.475000000000001,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,13.269157848324516,-2.6905753968253965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.0,52.0,0.0,0.0,63.0,68.0,68.0,0,0,0
2025,UCLA,320,Big Ten,midwest,True,0,"Eric Dailey, Jr.",7,0.0,0.565,0.5365,153.3,32.7,72.4,52.150000000000006,60.75,13.5,12.8,10.35,1.3,59.75,112.30000000000001,94.3,18.0,758.4,67.3,15.5,40.0,75.7,27.4,57.8,0.474,7.300000000000001,20.55,0.354,13.75,19.45,0.7055,9.9,21.05,31.0,16.65,8.600000000000001,2.95,10.5,17.5,4,1,0,0,0,0,2,94,3.8,0,1.6,1.7,0.8,0.215,13,7,0.65,64.9,116.8,95.1,21.76,22.0,26.0,26.0,26.0,26.0,24.0,18.0,22.0,15.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,4.833333333,0.0,1.0,3.0,0.0,0.0,0.666666666,1.3333333330000001,1.666666666,24.166666666666668,0,0,3.392857142857145,10.150000000000002,0.0,0.0,1.0,15.0,218.0,0.0,0.0,0.0,0.0,11.06452205882353,1.0730434303350984,19.0,0.0,0.666666666,1.3333333330000001,1.6666666669999999,0.166666667,1.0,1.3333333330000001,2.166666666,0,24.27485380116959,50.08771929824562,0.0,0.0,55.0,27.0,32.0,0,0,0
2025,Auburn,17,SEC,south,True,0,Johni Broome,1,0.0,0.5965,0.5680000000000001,160.5,35.15,73.3,55.3,56.4,10.75,10.0,17.55,1.4,74.3,122.1,95.85,26.25,694.6,70.3,14.0,39.8,85.95,30.6,62.3,0.49050000000000005,9.600000000000001,25.6,0.3755,15.100000000000001,20.45,0.7384999999999999,10.5,24.75,35.25,17.35,7.050000000000001,6.6,8.7,17.9,12,0,0,0,0,1,2,106,9.2,0,1.513,1.6,0.8,0.271,15,3,0.833,67.6,128.4,93.4,35.05,11.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.500000001,0.0,0.0,1.0,0.0,0.0,0.333333334,1.000000001,1.166666668,2.4444444444444446,1,1,31.166666666666664,49.691666666666656,0.166666667,0.0,7.0,26.0,233.0,0.0,0.166666667,0.166666667,0.166666667,13.269157848324516,5.152334449404763,21.0,0.0,0.333333334,1.000000001,1.166666668,0.0,0.333333334,1.166666668,1.8333333340000002,1,20.288888888888888,29.905555555555555,4.0,0.5,2.0,4.0,2.0,1,1,1
2025,UNC Wilmington,327,CAA,west,True,0,Donovan Newby,14,0.0,0.581,0.5445,156.4,36.5,76.9,57.45,54.45,13.350000000000001,9.25,9.5,1.35,65.85,116.75,101.05000000000001,15.7,743.4,70.15,14.0,40.150000000000006,82.69999999999999,28.85,59.9,0.482,7.45,21.9,0.34299999999999997,17.5,23.6,0.7384999999999999,11.45,26.1,37.5,15.7,6.5,3.25,10.95,16.700000000000003,6,0,0,0,0,1,0,88,8.4,0,1.575,1.5,0.6,0.229,14,4,0.778,65.3,112.3,107.1,5.14,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0,0,7.347222222222222,14.299999999999997,0.166666667,0.0,3.0,26.0,305.0,0.0,0.166666667,0.166666667,0.166666667,10.78058345734127,-1.4729917800453514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666667,0,26.0,52.0,0.0,0.0,43.0,57.0,55.0,0,0,0
2025,Utah St.,332,MWC,midwest,True,0,Ian Martinez,10,0.0,0.609,0.5834999999999999,159.8,33.95,72.6,53.650000000000006,62.75,13.2,13.7,9.95,1.4,71.2,121.30000000000001,99.55,21.8,655.6,69.9,14.5,39.9,84.95,30.150000000000002,59.4,0.5065,9.2,24.5,0.3745,15.55,21.65,0.7170000000000001,10.05,22.45,32.45,18.95,9.55,3.0999999999999996,10.65,18.15,6,0,0,0,0,3,0,105,6.3,0,1.612,1.8,0.8,0.253,15,5,0.75,67.5,120.7,105.5,15.22,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,0.166666667,0.0,0.0,0.0,0.0,0.166666667,0.166666667,0.166666667,0.166666667,25.72222222222222,0,0,6.0833333333333375,19.63333333333334,0.500000001,0.0,10.0,19.0,217.0,0.333333334,0.500000001,0.500000001,0.500000001,11.06452205882353,-1.7312364718614714,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.5,0.5,0,25.74561403508772,51.80994152046784,0.0,0.0,47.0,47.0,17.0,0,0,0
