Team,team_id,abrev
Miami (OH),170,MIAMI
Miami FL,169,UMFL
Miami OH,170,MIAMI
Michigan,171,MICH
Michigan St.,172,MCHST
Michigan State,172,MCHST
Middle Tennessee,173,MTSU
Middle Tennessee St.,173,MTSU
Middle Tennessee State,173,MTSU
Milwaukee,174,UWM
Minnesota,175,MINN
Mississippi,222,MISS
Mississippi St.,176,MISST
Mississippi State,176,MISST
Mississippi Valley St.,177,MVSU
Mississippi Valley State,177,MVSU
Missouri,178,MZZOU
Missouri St.,179,MZZST
Missouri State,179,MZZST
Monmouth,180,MONM
Montana,181,MONT
Montana St.,182,MTSTU
Montana State,182,MTSTU
Morehead St.,183,MRHD
Morehead State,183,MRHD
Morgan St.,184,MORST
Morgan State,184,MORST
Morris Brown,99999,MBC
Mount St. Mary's,185,MSMU
Murray St.,186,MRRY
Murray State,186,MRRY
N.C. State,189,NCST
N.J.I.T.,187,NJIT
Navy,188,USNA
NC St.,189,NCST
NC State,189,NCST
Nebraska,190,UNL
Nebraska Omaha,223,OMAHA
Nevada,191,UNR
New Hampshire,192,NEWHA
New Mexico,193,UNM
New Mexico St.,194,NMSU
New Mexico State,194,NMSU
New Orleans,195,NEWOR
Niagara,196,NIAG
Nicholls St.,197,NICH
Nicholls State,197,NICH
NJIT,187,NJIT
Norfolk St.,198,NORF
Norfolk State,198,NORF
North Alabama,199,UNA
North Carolina,200,UNC
UNC,200,UNC
North Carolina A&T,201,NC A&T
North Carolina Central,202,NCCU
North Carolina St.,189,NCST
North Dakota,203,UND
North Dakota St.,204,NDSU
North Dakota State,204,NDSU
North Florida,205,UNF
North Texas,206,UNT
Northeastern,207,NEU
Northern Arizona,208,NAU
Northern Colorado,209,NOCOL
Northern Illinois,210,NIU
Northern Iowa,211,UNI
Northern Kentucky,212,NKU
Northwestern,213,NWU
Northwestern St.,214,NSU
Northwestern State,214,NSU
Notre Dame,215,ND
Oakland,216,OAKL
Ohio,217,OHIO
Ohio St.,218,OSU
Ohio State,218,OSU
Oklahoma,219,OKLA
Oklahoma St.,220,OKST
Oklahoma State,220,OKST
Old Dominion,221,ODU
Ole Miss,222,MISS
Omaha,223,OMAHA
Oral Roberts,224,ORU
Oregon,225,OREG
Oregon St.,226,ORST
Oregon State,226,ORST
Pacific,227,PACI
Penn,229,PENN
Penn St.,228,PENST
Penn State,228,PENST
Pennsylvania,229,PENN
Pepperdine,230,PEPP
Pittsburgh,231,PITT
PITT,231,PITT
Portland,232,UP
Portland St.,233,PORTL
Portland State,233,PORTL
Prairie View,234,PVAMU
Prairie View A&M,234,PVAMU
Presbyterian,235,PRSBY
Princeton,236,PRIN
Providence,237,PROV
Purdue,238,PURD
Purdue Fort Wayne,92,IPFW
Queens,239,QUC
Queens (NC),239,QUC
Queens University,239,QUC
Quinnipiac,240,QUIN
Radford,241,RADF
Rhode Island,242,URI
Rice,243,RICE
Richmond,244,RICH
Rider,245,RIDER
Robert Morris,246,RMU
Rutgers,247,RUTG
Sacramento St.,248,CSUS
Sacramento State,248,CSUS
Sacred Heart,249,HEART
Saint Joseph's,250,STJOE
