Team,nickname,abbrev,conference,location,home_venue,season
Louisville,Cardinals,LVILL,ACC,"Louisville, KY",KFC Yum! Center,2018
Loyola (IL),Ramblers,L-IL,MVC,"Chicago, IL",Joseph J. Gentile Arena,2018
Loyola (MD),Greyhounds,L-MD,Patriot,"Baltimore, MD",Reitz Arena,2018
Loyola Marymount,Lions,LOYMR,WCC,"Los Angeles, CA",Gersten Pavilion,2018
LSU,Tigers,LSU,SEC,"Baton Rouge, LA",Pete Maravich Assembly Center,2018
Maine,Black Bears,MAINE,AM East,"Bangor, ME",Cross Insurance Center,2018
Manhattan,Jaspers,MAN,MAAC,"Riverdale, NY",Draddy Gymnasium,2018
Marist,Red Foxes,MRST,MAAC,"Poughkeepsie, NY",McCann Arena,2018
Marquette,Golden Eagles,MARQ,Big East,"Milwaukee, WI",Fiserv Forum,2018
Marshall,Thundering Herd,MARSH,C-USA,"Huntington, WV",Cam Henderson Center,2018
Maryland,Terrapins,UMD,Big Ten,"College Park, MD",XFINITY Center,2018
Maryland-Eastern Shore,Hawks,UMES,MEAC,"Princess Anne, MD",Hytche Athletic Center,2018
Massachusetts,Minutemen,UMass,A-10,"Amherst, MA",William D. Mullins Memorial Center,2018
McNeese State,Cowboys,MCNST,Southland,"Lake Charles, LA",Legacy Center,2018
Memphis,Tigers,MEMP,AAC,"Memphis, TN",FedExForum,2018
Mercer,Bears,MER,SoCon,"Macon, GA",Hawkins Arena,2018
Miami (FL),Hurricanes,UMFL,ACC,"Coral Gables, FL",Watsco Center,2018
Miami (OH),RedHawks,MIAMI,MAC,"Oxford, OH",Millett Hall,2018
Michigan,Wolverines,MICH,Big Ten,"Ann Arbor, MI",Crisler Center,2018
Michigan State,Spartans,MCHST,Big Ten,"East Lansing, MI",Breslin Center,2018
Middle Tennessee State,Blue Raiders,MTSU,C-USA,"Murfreesboro, TN",Murphy Center,2018
Milwaukee,Panthers,UWM,Horizon,"Milwaukee, WI",UW-Milwaukee Panther Arena,2018
Minnesota,Golden Gophers,MINN,Big Ten,"Minneapolis, MN",Williams Arena,2018
Mississippi State,Bulldogs,MISST,SEC,"Starkville, MS",Humphrey Coliseum,2018
Mississippi Valley State,Delta Devils,MVSU,SWAC,"Itta Bena, MS",Robert W. Harrison HPER Complex,2018
Missouri,Tigers,MZZOU,SEC,"Columbia, MO",Mizzou Arena,2018
Missouri State,Bears,MZZST,MVC,"Springfield, MO",Great Southern Bank Arena,2018
Monmouth,Hawks,MONM,MAAC,"West Long Branch, NJ",OceanFirst Bank Center,2018
Montana,Grizzlies,MONT,Big Sky,"Missoula, MT",Dahlberg Arena,2018
Montana State,Fighting Bobcats,MTSTU,Big Sky,"Bozeman, MT",Worthington Arena,2018
Morehead State,Eagles,MRHD,OVC,"Morehead, KY",Ellis T. Johnson Arena,2018
Morgan State,Bears,MORST,MEAC,"Baltimore, MD",Talmadge L. Hill Field House,2018
Mount St. Mary's,Mountaineers,MSMU,NEC,"Emmitsburg, MD",Knott Arena,2018
Murray State,Racers,MRRY,OVC,"Murray, KY",CFSB Center,2018
N.J.I.T.,Highlanders,NJIT,A-Sun,"Newark, NJ",NJIT Wellness and Events Center,2018
Navy,Midshipmen,USNA,Patriot,"Annapolis, MD",Alumni Hall (Navy),2018
NC State,Wolfpack,NCST,ACC,"Raleigh, NC",PNC Arena,2018
Nebraska,Cornhuskers,UNL,Big Ten,"Lincoln, NE",Pinnacle Bank Arena,2018
Nevada,Wolf Pack,UNR,MWC,"Reno, NV",Lawlor Events Center,2018
New Hampshire,Wildcats,NEWHA,AM East,"Durham, NH",Lundholm Gymnasium,2018
New Mexico,Lobos,UNM,MWC,"Albuquerque, NM",The Pit,2018
New Mexico State,Aggies,NMSU,WAC,"Las Cruces, NM",Pan American Center,2018
New Orleans,Privateers,NEWOR,Southland,"New Orleans, LA",Lakefront Arena,2018
Niagara,Purple Eagles,NIAG,MAAC,"Niagara Falls, NY",Gallagher Center,2018
Nicholls State,Colonels,NICH,Southland,"Thibodaux, LA",David R. Stopher Gymnasium,2018
Norfolk State,Spartans,NORF,MEAC,"Norfolk, VA",Joseph G. Echols Hall,2018
North Carolina,Tar Heels,UNC,ACC,"Chapel Hill, NC",Dean E. Smith Center,2018
North Carolina A&T,Aggies,NC A&T,MEAC,"Greensboro, NC",Corbett Sports Center,2018
North Carolina Central,Eagles,NCCU,MEAC,"Durham, NC",McDougald-McLendon Arena,2018
North Dakota,Fighting Hawks,UND,Big Sky,"Grand Forks, ND",Betty Engelstad Sioux Center,2018
North Dakota State,Bison,NDSU,Summit,"Fargo, ND",Scheels Center,2018
North Florida,Ospreys,UNF,A-Sun,"Jacksonville, FL",UNF Arena,2018
North Texas,Mean Green,UNT,C-USA,"Denton, TX",The Super Pit,2018
Northeastern,Huskies,NEU,CAA,"Boston, MA",Matthews Arena,2018
Northern Arizona,Lumberjacks,NAU,Big Sky,"Flagstaff, AZ",J. Lawrence Walkup Skydome,2018
Northern Colorado,Bears,NOCOL,Big Sky,"Greeley, CO",Bank of Colorado Arena,2018
Northern Illinois,Huskies,NIU,MAC,"DeKalb, IL",NIU Convocation Center,2018
Northern Iowa,Panthers,UNI,MVC,"Cedar Falls, IA",McLeod Center,2018
Northern Kentucky,Norse,NKU,Horizon,"Highland Heights, KY",Truist Arena,2018
Northwestern,Wildcats,NWU,Big Ten,"Evanston, IL",Welsh-Ryan Arena,2018
Northwestern State,Demons,NSU,Southland,"Natchitoches, LA",Prather Coliseum,2018
Notre Dame,Fighting Irish,ND,ACC,"South Bend, IN",Purcell Pavilion,2018
Oakland,Golden Grizzlies,OAKL,Horizon,"Rochester, MI",OU Credit Union O'rena,2018
Ohio,Bobcats,OHIO,MAC,"Athens, OH",Convocation Center (OH),2018
Ohio State,Buckeyes,OSU,Big Ten,"Columbus, OH",Value City Arena,2018
Oklahoma,Sooners,OKLA,Big 12,"Norman, OK",Lloyd Noble Center,2018
Oklahoma State,Cowboys,OKST,Big 12,"Stillwater, OK",Gallagher-Iba Arena,2018
Old Dominion,Monarchs,ODU,C-USA,"Norfolk, VA",Chartway Arena,2018
Ole Miss,Rebels,MISS,SEC,"Oxford, MS",The Sandy and John Black Pavilion at Ole Miss,2018
Omaha,Mavericks,OMAHA,Summit,"Omaha, NE",Baxter Arena,2018
Oral Roberts,Golden Eagles,ORU,Summit,"Tulsa, OK",Mabee Center,2018
Oregon,Ducks,OREG,Pac-12,"Eugene, OR",Matthew Knight Arena,2018
Oregon State,Beavers,ORST,Pac-12,"Corvallis, OR",Gill Coliseum,2018
Pacific,Tigers,PACI,WCC,"Stockton, CA",Alex G. Spanos Center,2018
Penn State,Nittany Lions,PENST,Big Ten,"University Park, PA",Bryce Jordan Center,2018
Pennsylvania,Quakers,PENN,Ivy,"Philadelphia, PA",The Palestra,2018
Pepperdine,Waves,PEPP,WCC,"Malibu, CA",Firestone Fieldhouse,2018
Pittsburgh,Panthers,PITT,ACC,"Pittsburgh, PA",Petersen Events Center,2018
Portland,Pilots,UP,WCC,"Portland, OR",Chiles Center,2018
Portland State,Vikings,PORTL,Big Sky,"Portland, OR",Viking Pavilion,2018
Prairie View A&M,Panthers,PVAMU,SWAC,"Prairie View, TX",William Nicks Building,2018
Presbyterian,Blue Hose,PRSBY,Big South,"Clinton, SC",Ross E. Templeton P.E. Center,2018
Princeton,Tigers,PRIN,Ivy,"Princeton, NJ",Jadwin Gymnasium,2018
Providence,Friars,PROV,Big East,"Providence, RI",Amica Mutual Pavilion,2018
Purdue,Boilermakers,PURD,Big Ten,"West Lafayette, IN",Mackey Arena,2018
Quinnipiac,Bobcats,QUIN,MAAC,"Hamden, CT",M&T Bank Arena,2018
Radford,Highlanders,RADF,Big South,"Radford, VA",Donald N. Dedmon Center,2018
Rhode Island,Rams,URI,A-10,"Kingston, RI",Ryan Center,2018
Rice,Owls,RICE,C-USA,"Houston, TX",Tudor Fieldhouse,2018
Richmond,Spiders,RICH,A-10,"Richmond, VA",Robins Center,2018
Rider,Broncs,RIDER,MAAC,"Lawrenceville, NJ",Alumni Gymnasium (Rider),2018
Robert Morris,Colonials,RMU,NEC,"Moon Township, PA",UPMC Events Center,2018
Rutgers,Scarlet Knights,RUTG,Big Ten,"Piscataway, NJ",Jersey Mike's Arena,2018
Sacramento State,Hornets,CSUS,Big Sky,"Sacramento, CA",The Nest,2018
Sacred Heart,Pioneers,HEART,NEC,"Fairfield, CT",William H. Pitt Center,2018
Saint Joseph's,Hawks,STJOE,A-10,"Philadelphia, PA",Michael J. Hagan '85 Arena,2018
Saint Louis,Billikens,STLOU,A-10,"St. Louis, MO",Chaifetz Arena,2018
Saint Mary's,Gaels,STMRY,WCC,"Moraga, CA",University Credit Union Pavilion,2018
Saint Peter's,Peacocks,STPC,MAAC,"Jersey City, NJ",Run Baby Run Arena,2018
Sam Houston State,Bearkats,SHSU,Southland,"Huntsville, TX",Bernard G. Johnson Coliseum,2018
Samford,Bulldogs,SAMF,SoCon,"Homewood, AL",Pete Hanna Center,2018
San Diego,Toreros,SAND,WCC,"San Diego, CA",Jenny Craig Pavilion,2018
San Diego State,Aztecs,SDSU,MWC,"San Diego, CA",Viejas Arena,2018
San Francisco,Dons,SANFR,WCC,"San Francisco, CA",War Memorial at the Sobrato Center,2018
San Jose State,Spartans,SJSU,MWC,"San Jose, CA",Provident Credit Union Event Center,2018
Santa Clara,Broncos,SCU,WCC,"Santa Clara, CA",Leavey Center,2018
Savannah State,Tigers,SST,MEAC,"Savannah, GA",Tiger Arena,2018
Seattle,Redhawks,SEA,WAC,"Seattle, WA",Redhawk Center,2018
Seton Hall,Pirates,SETON,Big East,"Newark, NJ",Prudential Center,2018
Siena,Saints,SIENA,MAAC,"Albany, NY",MVP Arena,2018
SIU-Edwardsville,Cougars,SIUE,OVC,"Edwardsville, IL",First Community Arena at the Vadalabene Center,2018
South Alabama,Jaguars,USA,Sun Belt,"Mobile, AL",Mitchell Center,2018
South Carolina,Gamecocks,SOCAR,SEC,"Columbia, SC",Colonial Life Arena,2018
South Carolina State,Bulldogs,SCSU,MEAC,"Orangeburg, SC",Smith-Hammond-Middleton Memorial Center,2018
South Dakota,Coyotes,SODAK,Summit,"Vermillion, SD",Sanford Coyote Sports Center,2018
South Dakota State,Jackrabbits,SDKSU,Summit,"Brookings, SD",Frost Arena,2018
South Florida,Bulls,USOFL,AAC,"Tampa, FL",Yuengling Center,2018
Southeast Missouri State,Redhawks,SEMO,OVC,"Cape Girardeau, MO",Show Me Center,2018
Southeastern Louisiana,Lions,SELU,Southland,"Hammond, LA",University Center (LA),2018
Southern,Jaguars,SUBR,SWAC,"Baton Rouge, LA",F.G. Clark Activity Center,2018
Southern Illinois,Salukis,SOILL,MVC,"Carbondale, IL",Banterra Center,2018
Southern Methodist,Mustangs,SMU,AAC,"Dallas, TX",Moody Coliseum,2018
Southern Mississippi,Golden Eagles,SOMIS,C-USA,"Hattiesburg, MS",Reed Green Coliseum,2018
Southern Utah,Thunderbirds,SUU,Big Sky,"Cedar City, UT",America First Events Center,2018
St. Bonaventure,Bonnies,STBN,A-10,"Saint Bonaventure, NY",Reilly Center,2018
St. Francis (NY),Terriers,SFC,NEC,"Brooklyn, NY",Pope Physical Education Center,2018
St. Francis (PA),Red Flash,STFPA,NEC,"Loretto, PA",DeGol Arena,2018
St. John's,Red Storm,STJ,Big East,"Queens, NY",Carnesecca Arena,2018
Stanford,Cardinal,STAN,Pac-12,"Stanford, CA",Maples Pavilion,2018
Stephen F. Austin,Lumberjacks,SFA,Southland,"Nacogdoches, TX",William R. Johnson Coliseum,2018
Stetson,Hatters,STET,A-Sun,"DeLand, FL",Edmunds Center,2018
Stony Brook,Seawolves,SB,AM East,"Stony Brook, NY",Island FCU Arena,2018
Syracuse,Orange,SYRA,ACC,"Syracuse, NY",JMA Wireless Dome,2018
TCU,Horned Frogs,TCU,Big 12,"Fort Worth, TX",Ed and Rae Schollmaier Arena,2018
Temple,Owls,TEM,AAC,"Philadelphia, PA",Liacouras Center,2018
Tennessee,Volunteers,TENN,SEC,"Knoxville, TN",Thompson-Boling Arena,2018
Tennessee State,Tigers,TNST,OVC,"Nashville, TN",Gentry Center,2018
Tennessee Tech,Golden Eagles,TNTCH,OVC,"Cookeville, TN",Hooper Eblen Center,2018
Tennessee-Martin,Skyhawks,UTM,OVC,"Martin, TN",Kathleen and Tom Elam Center,2018
Texas,Longhorns,TEXAS,Big 12,"Austin, TX",Moody Center,2018
Texas A&M,Aggies,TAMU,SEC,"College Station, TX",Reed Arena,2018
Texas A&M-CC,Islanders,TAMU-CC,Southland,"Corpus Christi, TX",American Bank Center,2018
Texas Southern,Tigers,TEXSO,SWAC,"Houston, TX",H&PE Arena,2018
Texas State,Bobcats,TXST,Sun Belt,"San Marcos, TX",Strahan Arena at the University Events Center,2018
Texas Tech,Red Raiders,TXTCH,Big 12,"Lubbock, TX",United Supermarkets Arena,2018
Texas-Arlington,Mavericks,UTA,Sun Belt,"Arlington, TX",College Park Center,2018
Texas-RGV,Vaqueros,UTRGV,WAC,"Edinburg, TX",UTRGV Fieldhouse,2018
Texas-San Antonio,Roadrunners,UTSA,C-USA,"San Antonio, TX",UTSA Convocation Center,2018
The Citadel,Bulldogs,CTDL,SoCon,"Charleston, SC",McAlister Field House,2018
Toledo,Rockets,U of T,MAC,"Toledo, OH",Savage Arena,2018
Towson,Tigers,TOWS,CAA,"Towson, MD",SECU Arena,2018
Troy,Trojans,TROY,Sun Belt,"Troy, AL",Trojan Arena,2018
Tulane,Green Wave,TULAN,AAC,"New Orleans, LA",Avron B. Fogelman Arena in the Devlin Fieldhouse,2018
Tulsa,Golden Hurricane,TULSA,AAC,"Tulsa, OK",Donald W. Reynolds Center,2018
UAB,Blazers,UAB,C-USA,"Birmingham, AL",Bartow Arena,2018
UC Davis,Aggies,UCD,Big West,"Davis, CA",University Credit Union Center,2018
UC Irvine,Anteaters,UCI,Big West,"Irvine, CA",Bren Events Center,2018
UC Riverside,Highlanders,UCR,Big West,"Riverside, CA",SRC Arena,2018
UC Santa Barbara,Gauchos,UCSB,Big West,"Santa Barbara, CA",The Thunderdome,2018
UCF,Knights,UCF,AAC,"Orlando, FL",Addition Financial Arena,2018
UCLA,Bruins,UCLA,Pac-12,"Los Angeles, CA",Pauley Pavilion,2018
UConn,Huskies,UConn,AAC,"Storrs, CT",Harry A. Gampel Pavilion,2018
UMass Lowell,River Hawks,UML,AM East,"Lowell, MA",Costello Athletic Center,2018
UMBC,Retrievers,UMBC,AM East,"Baltimore, MD",Chesapeake Employers Insurance Arena,2018
UMKC,Kangaroos,UMKC,WAC,"Kansas City, MO",Swinney Recreation Center,2018
UNC Asheville,Bulldogs,UNCA,Big South,"Asheville, NC",Kimmel Arena,2018
UNC Greensboro,Spartans,UNCG,SoCon,"Greensboro, NC",Greensboro Coliseum Fieldhouse,2018
UNC Wilmington,Seahawks,UNCW,CAA,"Wilmington, NC",Trask Coliseum,2018
UNLV,Runnin' Rebels,UNLV,MWC,"Las Vegas, NV",Thomas & Mack Center,2018
USC,Trojans,USC,Pac-12,"Los Angeles, CA",Galen Center,2018
USC Upstate,Spartans,USCU,A-Sun,"Spartanburg, SC",G.B. Hodge Center,2018
Utah,Utes,U of U,Pac-12,"Salt Lake City, UT",Jon M. Huntsman Center,2018
Utah State,Aggies,USU,MWC,"Logan, UT",Dee Glen Smith Spectrum,2018
Utah Valley,Wolverines,UVU,WAC,"Orem, UT",UCCU Center,2018
UTEP,Miners,UTEP,C-USA,"El Paso, TX",Don Haskins Center,2018
Valparaiso,Beacons,VAL,MVC,"Valparaiso, IN",Athletics-Recreation Center,2018
Vanderbilt,Commodores,VANDY,SEC,"Nashville, TN",Memorial Gymnasium (TN),2018
VCU,Rams,VCU,A-10,"Richmond, VA",Stuart C. Siegel Center,2018
Vermont,Catamounts,UVM,AM East,"Burlington, VT",Patrick Gymnasium,2018
Villanova,Wildcats,VILL,Big East,"Villanova, PA",Finneran Pavilion,2018
Virginia,Cavaliers,UVA,ACC,"Charlottesville, VA",John Paul Jones Arena,2018
Virginia Military,Keydets,VMI,SoCon,"Lexington, VA",Cameron Hall,2018
Virginia Tech,Hokies,VT,ACC,"Blacksburg, VA",Cassell Coliseum,2018
Wagner,Seahawks,WAGNR,NEC,"Staten Island, NY",Spiro Sports Center,2018
Wake Forest,Demon Deacons,WF,ACC,"Winston-Salem, NC",Lawrence Joel Veterans Memorial Coliseum,2018
Washington,Huskies,UWASH,Pac-12,"Seattle, WA",Alaska Airlines Arena at Hec Edmundson Pavilion,2018
Washington State,Cougars,WSU,Pac-12,"Pullman, WA",Friel Court at Beasley Coliseum,2018
Weber State,Wildcats,WEBER,Big Sky,"Ogden, UT",Dee Events Center,2018
West Virginia,Mountaineers,WVU,Big 12,"Morgantown, WV",WVU Coliseum,2018
Western Carolina,Catamounts,WCU,SoCon,"Cullowhee, NC",Ramsey Regional Activity Center,2018
Western Illinois,Leathernecks,WIU,Summit,"Macomb, IL",LeRoy A. Ufkes Court at Western Hall,2018
Western Kentucky,Hilltoppers,WKU,C-USA,"Bowling Green, KY",E. A. Diddle Arena,2018
Western Michigan,Broncos,WMY,MAC,"Kalamazoo, MI",University Arena (MI),2018
Wichita State,Shockers,WICHI,AAC,"Wichita, KS",Charles Koch Arena,2018
William & Mary,Tribe,W&M,CAA,"Williamsburg, VA",Kaplan Arena,2018
Winthrop,Eagles,WIN,Big South,"Rock Hill, SC",Winthrop Coliseum,2018
Wisconsin,Badgers,UWISC,Big Ten,"Madison, WI",Kohl Center,2018
Wofford,Terriers,WOFF,SoCon,"Spartanburg, SC",Jerry Richardson Indoor Stadium,2018
Wright State,Raiders,WRST,Horizon,"Dayton, OH",Nutter Center,2018
Wyoming,Cowboys,UWYOM,MWC,"Laramie, WY",Arena Auditorium,2018
Xavier,Musketeers,XAV,Big East,"Cincinnati, OH",Cintas Center,2018
Yale,Bulldogs,YALE,Ivy,"New Haven, CT",John J. Lee Amphitheater,2018
Youngstown State,Penguins,YSU,Horizon,"Youngstown, OH",Beeghly Center,2018
Abilene Christian,Wildcats,ACU,Southland,"Abilene, TX",Moody Coliseum (Abilene),2017
Air Force,Falcons,AF,MWC,"Colorado Springs, CO",Clune Arena,2017
Akron,Zips,AKR,MAC,"Akron, OH",James A. Rhodes Arena,2017
Alabama,Crimson Tide,UA,SEC,"Tuscaloosa, AL",Coleman Coliseum,2017
Alabama A&M,Bulldogs,AAMU,SWAC,"Huntsville, AL",Event Center,2017
Alabama State,Hornets,ALAST,SWAC,"Montgomery, AL",Dunn-Oliver Acadome,2017
Albany,Great Danes,ALBNY,AM East,"Albany, NY",Broadview Center,2017
Alcorn State,Braves,ALCST,SWAC,"Lorman, MS",Davey L. Whitney Complex,2017
American University,Eagles,AMERU,Patriot,"Washington, DC",Bender Arena,2017
Appalachian State,Mountaineers,APPST,Sun Belt,"Boone, NC",George M. Holmes Convocation Center,2017
Arizona,Wildcats,ARZ,Pac-12,"Tucson, AZ",McKale Center,2017
Arizona State,Sun Devils,ASU,Pac-12,"Tempe, AZ",Desert Financial Arena,2017
Arkansas,Razorbacks,ARK,SEC,"Fayetteville, AR",Bud Walton Arena,2017
Arkansas State,Red Wolves,ARKST,Sun Belt,"Jonesboro, AR",First National Bank Arena,2017
Arkansas-Pine Bluff,Golden Lions,UAPB,SWAC,"Pine Bluff, AR",H.O. Clemmons Arena,2017
Army West Point,Black Knights,USMA,Patriot,"West Point, NY",Christl Arena,2017
Auburn,Tigers,AUB,SEC,"Auburn, AL",Neville Arena,2017
Austin Peay,Governors,APSU,OVC,"Clarksville, TN",F&M Bank Arena,2017
Ball State,Cardinals,BLLST,MAC,"Muncie, IN",John E. Worthen Arena,2017
Baylor,Bears,BAYL,Big 12,"Waco, TX",Foster Pavilion,2017
Belmont,Bruins,BLMNT,OVC,"Nashville, TN",Curb Event Center Arena,2017
Bethune-Cookman,Wildcats,BTHCK,MEAC,"Daytona Beach, FL",Moore Gymnasium (FL),2017
Binghamton,Bearcats,BNGH,AM East,"Binghamton, NY",Events Center (Binghamton),2017
Boise State,Broncos,BOISE,MWC,"Boise, ID",ExtraMile Arena,2017
Boston College,Eagles,BOS,ACC,"Chestnut Hill, MA",Silvio O. Conte Forum,2017
Boston University,Terriers,BSTN,Patriot,"Boston, MA",Case Gym,2017
Bowling Green,Falcons,BGSU,MAC,"Bowling Green, OH",Stroh Center,2017
Bradley,Braves,BRDLY,MVC,"Peoria, IL",Carver Arena,2017
Brigham Young,Cougars,BYU,WCC,"Provo, UT",Marriott Center,2017
Brown,Bears,BRWN,Ivy,"Providence, RI",Pizzitola Sports Center,2017
Bryant,Bulldogs,BRYNT,NEC,"Smithfield, RI",Chace Athletic Center,2017
Bucknell,Bison,BUCK,Patriot,"Lewisburg, PA",Sojka Pavilion,2017
Buffalo,Bulls,BUFF,MAC,"Buffalo, NY",Alumni Arena,2017
Butler,Bulldogs,BTLR,Big East,"Indianapolis, IN",Hinkle Fieldhouse,2017
Cal Poly,Mustangs,POLY,Big West,"San Luis Obispo, CA",Robert A. Mott Athletics Center,2017
Cal State Bakersfield,Roadrunners,CSUB,WAC,"Bakersfield, CA",Icardo Center,2017
Cal State Fullerton,Titans,CSFUL,Big West,"Fullerton, CA",Titan Gym,2017
Cal State Northridge,Matadors,CSUN,Big West,"Northridge, CA",Premier America Credit Union Arena,2017
California,Golden Bears,Cal,Pac-12,"Berkeley, CA",Haas Pavilion,2017
Campbell,Fighting Camels,CAM,Big South,"Buies Creek, NC",John W. Pope Jr. Convocation Center,2017
Canisius,Golden Griffins,CAN,MAAC,"Buffalo, NY",Koessler Athletic Center,2017
Central Arkansas,Bears,UCA,Southland,"Conway, AR",Farris Center,2017
Central Connecticut State,Blue Devils,CCSU,NEC,"New Britain, CT",William H. Detrick Gymnasium,2017
Central Michigan,Chippewas,CMU,MAC,"Mount Pleasant, MI",McGuirk Arena,2017
Charleston,Cougars,C of C,CAA,"Charleston, SC",TD Arena,2017
Charleston Southern,Buccaneers,CHASO,Big South,"Charleston, SC",Buccaneer Fieldhouse,2017
Charlotte,49ers,CHAR,C-USA,"Charlotte, NC",Dale F. Halton Arena,2017
Chattanooga,Mocs,CHATT,SoCon,"Chattanooga, TN",McKenzie Arena,2017
Chicago State,Cougars,CHIST,WAC,"Chicago, IL",Emil and Patricia Jones Convocation Center,2017
Cincinnati,Bearcats,CINCY,AAC,"Cincinnati, OH",Fifth Third Arena,2017
Clemson,Tigers,CLEM,ACC,"Clemson, SC",Littlejohn Coliseum,2017
Cleveland State,Vikings,CLEST,Horizon,"Cleveland, OH",Wolstein Center,2017
Coastal Carolina,Chanticleers,CCU,Sun Belt,"Conway, SC",The HTC Center,2017
Colgate,Raiders,COLGT,Patriot,"Hamilton, NY",Cotterell Court,2017
Colorado,Buffaloes,COLO,Pac-12,"Boulder, CO",CU Events Center,2017
Colorado State,Rams,COLST,MWC,"Fort Collins, CO",Moby Arena,2017
Columbia,Lions,COM,Ivy,"New York, NY",Francis S. Levien Gymnasium,2017
Coppin State,Eagles,COPST,MEAC,"Baltimore, MD",Physical Education Complex,2017
Cornell,Big Red,COR,Ivy,"Ithaca, NY",Newman Arena,2017
Creighton,Bluejays,CREI,Big East,"Omaha, NE",CHI Health Center Omaha,2017
Dartmouth,Big Green,DART,Ivy,"Hanover, NH",Edward Leede Arena,2017
Davidson,Wildcats,DAV,A-10,"Davidson, NC",John M. Belk Arena,2017
Dayton,Flyers,DAY,A-10,"Dayton, OH",UD Arena,2017
Delaware,Fightin Blue Hens,DEL,CAA,"Newark, DE",Bob Carpenter Center,2017
Delaware State,Hornets,DESU,MEAC,"Dover, DE","Memorial Hall (Dover, DE)",2017
Denver,Pioneers,DEN,Summit,"Denver, CO",Hamilton Gymnasium,2017
DePaul,Blue Demons,DEP,Big East,"Chicago, IL",Wintrust Arena,2017
Detroit-Mercy,Titans,UDM,Horizon,"Detroit, MI",Calihan Hall,2017
Drake,Bulldogs,DRAKE,MVC,"Des Moines, IA",The Knapp Center,2017
Drexel,Dragons,DREX,CAA,"Philadelphia, PA",Daskalakis Athletic Center,2017
Duke,Blue Devils,DUKE,ACC,"Durham, NC",Cameron Indoor Stadium,2017
Duquesne,Dukes,DUQ,A-10,"Pittsburgh, PA",UPMC Cooper Fieldhouse,2017
East Carolina,Pirates,ECAR,AAC,"Greenville, NC",Williams Arena at Minges Coliseum,2017
East Tennessee State,Buccaneers,ETSU,SoCon,"Johnson City, TN",Freedom Hall Civic Center,2017
Eastern Illinois,Panthers,EIU,OVC,"Charleston, IL",Lantz Arena,2017
Eastern Kentucky,Colonels,EKU,OVC,"Richmond, KY",Baptist Health Arena,2017
Eastern Michigan,Eagles,EMICH,MAC,"Ypsilanti, MI",George Gervin GameAbove Center,2017
Eastern Washington,Eagles,EWASH,Big Sky,"Cheney, WA",Reese Court,2017
Elon,Phoenix,ELON,CAA,"Elon, NC",Schar Center,2017
Evansville,Purple Aces,UE,MVC,"Evansville, IN",Ford Center,2017
Fairfield,Stags,FAIR,MAAC,"Fairfield, CT",Leo D. Mahoney Arena,2017
Fairleigh Dickinson,Knights,FDU,NEC,"Hackensack, NJ",Bogota Savings Bank Center,2017
Florida,Gators,FLA,SEC,"Gainesville, FL",Exactech Arena at the Stephen C. O'Connell Center,2017
Florida A&M,Rattlers,FAMU,MEAC,"Tallahassee, FL",Al Lawson Center,2017
Florida Atlantic,Owls,FAU,C-USA,"Boca Raton, FL",Eleanor R. Baldwin Arena,2017
Florida Gulf Coast,Eagles,FGCU,A-Sun,"Fort Myers, FL",Alico Arena,2017
Florida International,Golden Panthers,FIU,C-USA,"Miami, FL",Ocean Bank Convocation Center,2017
Florida State,Seminoles,FLAST,ACC,"Tallahassee, FL",Donald L. Tucker Center,2017
Fordham,Rams,FORD,A-10,"Bronx, NY",Rose Hill Gymnasium,2017
Fort Wayne,Mastodons,IPFW,Summit,"Fort Wayne, IN",Allen County War Memorial Coliseum,2017
Fresno State,Bulldogs,FRSNO,MWC,"Fresno, CA",Save Mart Center,2017
Furman,Paladins,FRMN,SoCon,"Greenville, SC",Timmons Arena,2017
Gardner-Webb,Runnin' Bulldogs,GWU,Big South,"Boiling Springs, NC",Paul Porter Arena,2017
George Mason,Patriots,GMU,A-10,"Fairfax, VA",EagleBank Arena,2017
George Washington,Revolutionaries,GW,A-10,"Washington, DC",Charles E. Smith Center,2017
Georgetown,Hoyas,GTOWN,Big East,"Washington, DC",Capital One Arena,2017
Georgia,Bulldogs,UGA,SEC,"Athens, GA",Stegeman Coliseum,2017
Georgia Southern,Eagles,GASO,Sun Belt,"Statesboro, GA",W.S. Hanner Fieldhouse,2017
Georgia State,Panthers,GAST,Sun Belt,"Atlanta, GA",GSU Convocation Center,2017
Georgia Tech,Yellow Jackets,GT,ACC,"Atlanta, GA",McCamish Pavilion,2017
Gonzaga,Bulldogs,ZAGS,WCC,"Spokane, WA",McCarthey Athletic Center,2017
Grambling State,Tigers,GRAMB,SWAC,"Grambling, LA",Fredrick C. Hobdy Assembly Center,2017
Grand Canyon,Antelopes,GCU,WAC,"Phoenix, AZ",GCU Arena,2017
Green Bay,Phoenix,UWGB,Horizon,"Ashwaubenon, WI",Resch Center,2017
Hampton,Pirates,HMPTN,MEAC,"Hampton, VA",Convocation Center (VA),2017
Hartford,Hawks,UHA,AM East,"Hartford, CT",Chase Arena,2017
Harvard,Crimson,HAR,Ivy,"Cambridge, MA",Lavietes Pavilion,2017
Hawaii,Rainbow Warriors,HAW,Big West,"Honolulu, HI",Stan Sheriff Center,2017
High Point,Panthers,HP,Big South,"High Point, NC",Nido and Mariana Qubein Arena,2017
Hofstra,Pride,HOF,CAA,"Hempstead, NY",David S. Mack Sports and Exhibition Complex,2017
