Team,nickname,abbrev,conference,location,home_venue,season
Duke,Blue Devils,DUKE,ACC,"Durham, NC",Cameron Indoor Stadium,2024
Duquesne,Dukes,DUQ,A-10,"Pittsburgh, PA",UPMC Cooper Fieldhouse,2024
East Carolina,Pirates,ECAR,AAC,"Greenville, NC",Williams Arena at Minges Coliseum,2024
East Tennessee State,Buccaneers,ETSU,SoCon,"Johnson City, TN",Freedom Hall Civic Center,2024
Eastern Illinois,Panthers,EIU,OVC,"Charleston, IL",Lantz Arena,2024
Eastern Kentucky,Colonels,EKU,A-Sun,"Richmond, KY",Baptist Health Arena,2024
Eastern Michigan,Eagles,EMICH,MAC,"Ypsilanti, MI",George Gervin GameAbove Center,2024
Eastern Washington,Eagles,EWASH,Big Sky,"Cheney, WA",Reese Court,2024
Elon,Phoenix,ELON,CAA,"Elon, NC",Schar Center,2024
Evansville,Purple Aces,UE,MVC,"Evansville, IN",Ford Center,2024
Fairfield,Stags,FAIR,MAAC,"Fairfield, CT",Leo D. Mahoney Arena,2024
Fairleigh Dickinson,Knights,FDU,NEC,"Hackensack, NJ",Bogota Savings Bank Center,2024
Florida,Gators,FLA,SEC,"Gainesville, FL",Exactech Arena at the Stephen C. O'Connell Center,2024
Florida A&M,Rattlers,FAMU,SWAC,"Tallahassee, FL",Al Lawson Center,2024
Florida Atlantic,Owls,FAU,AAC,"Boca Raton, FL",Eleanor R. Baldwin Arena,2024
Florida Gulf Coast,Eagles,FGCU,A-Sun,"Fort Myers, FL",Alico Arena,2024
Florida International,Golden Panthers,FIU,C-USA,"Miami, FL",Ocean Bank Convocation Center,2024
Florida State,Seminoles,FLAST,ACC,"Tallahassee, FL",Donald L. Tucker Center,2024
Fordham,Rams,FORD,A-10,"Bronx, NY",Rose Hill Gymnasium,2024
Fort Wayne,Mastodons,IPFW,Horizon,"Fort Wayne, IN",Allen County War Memorial Coliseum,2024
Fresno State,Bulldogs,FRSNO,MWC,"Fresno, CA",Save Mart Center,2024
Furman,Paladins,FRMN,SoCon,"Greenville, SC",Timmons Arena,2024
Gardner-Webb,Runnin' Bulldogs,GWU,Big South,"Boiling Springs, NC",Paul Porter Arena,2024
George Mason,Patriots,GMU,A-10,"Fairfax, VA",EagleBank Arena,2024
George Washington,Revolutionaries,GW,A-10,"Washington, DC",Charles E. Smith Center,2024
Georgetown,Hoyas,GTOWN,Big East,"Washington, DC",Capital One Arena,2024
Georgia,Bulldogs,UGA,SEC,"Athens, GA",Stegeman Coliseum,2024
Georgia Southern,Eagles,GASO,Sun Belt,"Statesboro, GA",W.S. Hanner Fieldhouse,2024
Georgia State,Panthers,GAST,Sun Belt,"Atlanta, GA",GSU Convocation Center,2024
Georgia Tech,Yellow Jackets,GT,ACC,"Atlanta, GA",McCamish Pavilion,2024
Gonzaga,Bulldogs,ZAGS,WCC,"Spokane, WA",McCarthey Athletic Center,2024
Grambling State,Tigers,GRAMB,SWAC,"Grambling, LA",Fredrick C. Hobdy Assembly Center,2024
Grand Canyon,Antelopes,GCU,WAC,"Phoenix, AZ",GCU Arena,2024
Green Bay,Phoenix,UWGB,Horizon,"Ashwaubenon, WI",Resch Center,2024
Hampton,Pirates,HMPTN,CAA,"Hampton, VA",Convocation Center (VA),2024
Harvard,Crimson,HAR,Ivy,"Cambridge, MA",Lavietes Pavilion,2024
Hawaii,Rainbow Warriors,HAW,Big West,"Honolulu, HI",Stan Sheriff Center,2024
High Point,Panthers,HP,Big South,"High Point, NC",Nido and Mariana Qubein Arena,2024
Hofstra,Pride,HOF,CAA,"Hempstead, NY",David S. Mack Sports and Exhibition Complex,2024
Holy Cross,Crusaders,HC,Patriot,"Worcester, MA",Hart Center,2024
Houston,Cougars,U of H,Big 12,"Houston, TX",Fertitta Center,2024
Houston Christian,Huskies,HCU,Southland,"Houston, TX",Sharp Gymnasium,2024
Howard,Bison,HWRD,MEAC,"Washington, DC",Burr Gymnasium,2024
Idaho,Vandals,IDAHO,Big Sky,"Moscow, ID",ICCU Arena,2024
Idaho State,Bengals,IDHST,Big Sky,"Pocatello, ID",Holt Arena,2024
Illinois,Fighting Illini,ILL,Big Ten,"Champaign, IL",State Farm Center,2024
Illinois State,Redbirds,ILLST,MVC,"Normal, IL",CEFCU Arena,2024
Illinois-Chicago,Flames,UIC,MVC,"Chicago, IL",Credit Union 1 Arena,2024
Incarnate Word,Cardinals,UIW,Southland,"San Antonio, TX",Alice P. McDermott Convocation Center,2024
Indiana,Hoosiers,IU,Big Ten,"Bloomington, IN",Simon Skjodt Assembly Hall,2024
Indiana State,Sycamores,INDST,MVC,"Terre Haute, IN",Hulman Center,2024
