season,Team,bracket_region,round,champion_share,make_tournament,seed_tournament
2024,Tarleton State,0,0,0,FALSE,0
2024,Belmont,0,0,0,FALSE,0
2024,VCU,0,0,0,FALSE,0
2024,North Dakota,0,0,0,FALSE,0
2024,George Mason,0,0,0,FALSE,0
2024,Green Bay,0,0,0,FALSE,0
2024,Stony Brook,0,0,0,FALSE,0
2024,Bryant,0,0,0,FALSE,0
2024,Lehigh,0,0,0,FALSE,0
2024,Bucknell,0,0,0,FALSE,0
2024,St. Bonaventure,0,0,0,FALSE,0
2024,South Carolina State,0,0,0,FALSE,0
2024,Wisconsin,south,Round of 64,0,TRUE,5
2024,Charlotte,0,0,0,FALSE,0
2024,Florida Gulf Coast,0,0,0,FALSE,0
2024,Texas Tech,south,Round of 64,0,TRUE,6
2024,Austin Peay,0,0,0,FALSE,0
2024,Winthrop,0,0,0,FALSE,0
2024,Louisiana,0,0,0,FALSE,0
2024,Stetson,east,Round of 64,0,TRUE,16
2024,Mount St. Mary's,0,0,0,FALSE,0
2024,Lafayette,0,0,0,FALSE,0
2024,Pittsburgh,0,0,0,FALSE,0
2024,Milwaukee,0,0,0,FALSE,0
2024,Howard,west,0,0,FALSE,16
2024,Seton Hall,0,0,0,FALSE,0
2024,Murray State,0,0,0,FALSE,0
2024,Bethune-Cookman,0,0,0,FALSE,0
2024,Marist,0,0,0,FALSE,0
2024,Nicholls State,0,0,0,FALSE,0
2024,UAB,east,Round of 64,0,TRUE,12
2024,Utah Valley,0,0,0,FALSE,0
2024,Niagara,0,0,0,FALSE,0
2024,Jackson State,0,0,0,FALSE,0
2024,Delaware,0,0,0,FALSE,0
2024,Montana State,midwest,0,0,FALSE,16
2024,Kent State,0,0,0,FALSE,0
2024,Monmouth,0,0,0,FALSE,0
2024,South Carolina,midwest,Round of 64,0,TRUE,6
2024,Liberty,0,0,0,FALSE,0
2024,Iona,0,0,0,FALSE,0
2024,Virginia Tech,0,0,0,FALSE,0
2024,Utah,0,0,0,FALSE,0
2024,Central Michigan,0,0,0,FALSE,0
2024,Hawaii,0,0,0,FALSE,0
2024,TCU,midwest,Round of 64,0,TRUE,9
2024,Washington,0,0,0,FALSE,0
2024,Gardner-Webb,0,0,0,FALSE,0
2024,Brigham Young,east,Round of 64,0,TRUE,6
2024,UTEP,0,0,0,FALSE,0
2024,Wagner,west,Round of 64,0,TRUE,16
2024,SIU-Edwardsville,0,0,0,FALSE,0
2024,UMBC,0,0,0,FALSE,0
2024,Northern Iowa,0,0,0,FALSE,0
2024,Bowling Green,0,0,0,FALSE,0
2024,Miami (OH),0,0,0,FALSE,0
2024,Delaware State,0,0,0,FALSE,0
2024,Stephen F. Austin,0,0,0,FALSE,0
2024,Virginia,midwest,0,0,FALSE,10
2024,Brown,0,0,0,FALSE,0
2024,Southeastern Louisiana,0,0,0,FALSE,0
2024,Cincinnati,0,0,0,FALSE,0
2024,California Baptist,0,0,0,FALSE,0
2024,Idaho State,0,0,0,FALSE,0
2024,Queens University,0,0,0,FALSE,0
2024,Ball State,0,0,0,FALSE,0
2024,North Alabama,0,0,0,FALSE,0
2024,Providence,0,0,0,FALSE,0
2024,Northwestern State,0,0,0,FALSE,0
2024,Alabama A&M,0,0,0,FALSE,0
2024,Mississippi State,west,Round of 64,0,TRUE,8
2024,Boston University,0,0,0,FALSE,0
2024,Saint Joseph's,0,0,0,FALSE,0
2024,Xavier,0,0,0,FALSE,0
2024,Fairleigh Dickinson,0,0,0,FALSE,0
2024,UC Riverside,0,0,0,FALSE,0
2024,Alabama State,0,0,0,FALSE,0
2024,Long Beach State,west,Round of 64,0,TRUE,15
2024,Maine,0,0,0,FALSE,0
2024,Ohio State,0,0,0,FALSE,0
2024,Cleveland State,0,0,0,FALSE,0
2024,Maryland,0,0,0,FALSE,0
2024,Florida State,0,0,0,FALSE,0
2024,Western Michigan,0,0,0,FALSE,0
2024,Wofford,0,0,0,FALSE,0
2024,Mercer,0,0,0,FALSE,0
2024,Morgan State,0,0,0,FALSE,0
2024,UC Santa Barbara,0,0,0,FALSE,0
2024,Davidson,0,0,0,FALSE,0
2024,Tennessee State,0,0,0,FALSE,0
2024,Longwood,south,Round of 64,0,TRUE,16
2024,Arkansas-Pine Bluff,0,0,0,FALSE,0
2024,Kansas State,0,0,0,FALSE,0
